url,engine_capacity,registration_year,mileage,vin_/_chassis_no.,transmission,model_grade,drive_type,dimension,fuel_type,exterior_color,*full_vin/chassis_no._will_be_shown_on_invoice,reference_no.,price,no._of_doors,manufacture_year,no._of_seats,steering,model_code,car_age,FOB (KES),Shipping (KES),Insurance (KES),CIF (KES),Import Duty (KES),Excise Duty (KES),IDF (KES),RDL (KES),VAT (KES),Port Charges (KES),Clearing Fees (KES),Registration (KES),TOTAL COST (KES)
https://carfromjapan.com/cheap-used-toyota-rav4-2021-for-sale-6a02610ed32bf9a25393bb78,2500,2021,51400.0,AXAP540003***,Automatic,ブラックトーン,4WD,17 m3,Hybrid,Other,Auction Grade,CFJ2774796,26237,5,-,5,Right,AXAP54,5,3397691.5,130000,50965.37,3578656.87,1252529.91,1073597.06,125252.99,71573.14,944765.41,50000,22500,10000,7128875.38
https://carfromjapan.com/cheap-used-toyota-hiace-van-2021-for-sale-6a028c3c29365f252e5395a7,2700,2021,81000.0,TRH221-0098***,Automatic,ワイド DX スーパーロング HR,2WD,16.5 m3,Petrol,White,Auction Grade,CFJ2776195,25687,4,-,6,-,3BF-TRH221K,5,3326466.5,130000,49897.0,3506363.5,1227227.22,1051909.05,122722.72,70127.27,925679.96,50000,22500,10000,6986529.73
https://carfromjapan.com/cheap-used-subaru-forester-2020-for-sale-6a03b6d7a329fa9c9b757788,2000,2020,103500.0,SKE042***,Automatic,ｱﾄﾞﾊﾞﾝｽ,4WD,14.47 m3,Hybrid,Other,Auction Grade,CFJ2779333,11448,5,-,5,Other,SKE,6,1482516.0,130000,22237.74,1634753.74,572163.81,408688.43,57216.38,32695.07,418496.96,50000,22500,10000,3206514.4
https://carfromjapan.com/cheap-used-toyota-rav4-2020-for-sale-6a0487304c42ba77ac805269,2500,2020,45000.0,AXAH52-4003***,Automatic,X,2WD,17 m3,Hybrid,Black,Auction Grade,CFJ2780510,20739,5,-,5,-,6AA-AXAH52,6,2685700.5,130000,40285.51,2855986.01,999595.1,856795.8,99959.51,57119.72,753980.31,50000,22500,10000,5705936.45
https://carfromjapan.com/cheap-used-toyota-rav4-2021-for-sale-6a0655d7a329fa8d4feb2731,2000,2021,33400.0,MXAA524005***,Automatic,Ｘ,-,17 m3,Petrol,Other,Auction Grade,CFJ2787623,19561,5,-,5,Right,MXAA52,5,2533149.5,130000,37997.24,2701146.74,945401.36,675286.69,94540.14,54022.93,691493.57,50000,22500,10000,5244391.42
https://carfromjapan.com/cheap-used-subaru-forester-2025-for-sale-6921f848c5884d8bb1474359,2500,2025,5000.0,SLG-006***,Automatic,X-ブレイク S:HEV EX,4WD,17 m3,Hybrid,Black,Auction Grade,CFJ1990830,36438,5,-,5,-,5AA-SLG,1,4718721.0,130000,70780.82,4919501.82,1721825.64,1475850.54,172182.56,98390.04,1298748.48,50000,22500,10000,9768999.07
https://carfromjapan.com/cheap-used-toyota-land-cruiser-prado-2021-for-sale-69cefa7d78dc8c41bc7905ed,2800,2021,39000.0,GDJ1500060***,Automatic,TX,4WD,17 m3,Diesel,Other,Auction Grade,CFJ2590422,31027,5,-,5,Right,3DA-GDJ150W,5,4017996.5,130000,60269.95,4208266.45,1472893.26,1262479.93,147289.33,84165.33,1110982.34,50000,22500,10000,8368576.64
https://carfromjapan.com/cheap-used-subaru-forester-2019-for-sale-69f6e490968492faf358d3aa,2000,2019,21000.0,SKE-034***,Automatic,アドバンス,4WD,17 m3,Hybrid,Black,Auction Grade,CFJ2751598,19561,5,-,5,-,5AA-SKE,7,2533149.5,130000,37997.24,2701146.74,945401.36,675286.69,94540.14,54022.93,691493.57,50000,22500,10000,5244391.42
https://carfromjapan.com/cheap-used-subaru-forester-2021-for-sale-695ee6c9bc7b740b479f9e41,1800,2021,86400.0,SK5006***,Automatic,スポーツ,4WD,14.47 m3,Petrol,Pearl,Auction Grade,CFJ2180801,14512,5,-,5,Right,SK5,5,1879304.0,130000,28189.56,2037493.56,713122.75,509373.39,71312.27,40749.87,521598.35,50000,22500,10000,3976150.19
https://carfromjapan.com/cheap-used-toyota-rav4-2022-for-sale-69f927dd1374d01e66f0aba7,2500,2022,151600.0,AXAP540007***,Automatic,G_Z,4WD,14.38 m3,Hybrid,Other,Auction Grade,CFJ2756953,20818,5,-,5,Other,AXAP54,4,2695931.0,130000,40438.96,2866369.96,1003229.49,859910.99,100322.95,57327.4,756721.67,50000,22500,10000,5726382.46
https://carfromjapan.com/cheap-used-bmw-2-series-2022-for-sale-69b1f59cd4a1a4dd305066ca,2000,2022,34000.0,WBA22BY0X07L45***,Automatic,２１８ｄアクティブツアラー　エクスクルーシブ,-,11 m3,Diesel,White,Auction Grade,CFJ2470720,20347,5,-,5,Right,22BY20,4,2634936.5,130000,39524.05,2804460.55,981561.19,701115.14,98156.12,56089.21,717941.9,50000,22500,10000,5441824.11
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-6a065ba164ce68812e1eea3b,2000,2019,50000.0,MXAA545004***,Automatic,G “Z package”,4WD,17 m3,Petrol,Other,Auction Grade,CFJ2788844,21368,5,-,5,Right,6BA-MXAA54,7,2767156.0,130000,41507.34,2938663.34,1028532.17,734665.83,102853.22,58773.27,752297.82,50000,22500,10000,5698285.64
https://carfromjapan.com/cheap-used-volkswagen-polo-2020-for-sale-69fb10f8c15b58c11882d11c,990,2020,43800.0,WVWZZZAWZLU063***,Automatic,TSI CONFORT LINE,2WD,10.3 m3,Petrol,Orange,Auction Grade,CFJ2760990,7500,5,-,5,Right,ABA-AWCHZ,6,971250.0,130000,14568.75,1115818.75,390536.56,223163.75,39053.66,22316.38,276723.05,50000,22500,10000,2150112.14
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69603ca5090a22ba6992a5e7,2500,2019,19000.0,AXAH544010***,Automatic,HYBRID G,4WD,17 m3,Hybrid,Other,Auction Grade,CFJ2187034,25844,5,-,5,Right,6AA-AXAH54,7,3346798.0,130000,50201.97,3526999.97,1234449.99,1058099.99,123445.0,70540.0,931127.99,50000,22500,10000,7027162.94
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-6a069b7664ce68e171310756,2000,2019,40000.0,MXAA54-2012***,Automatic,アドベンチャー,4WD,17 m3,Petrol,Green,Auction Grade,CFJ2789682,21368,5,-,5,-,6BA-MXAA54,7,2767156.0,130000,41507.34,2938663.34,1028532.17,734665.83,102853.22,58773.27,752297.82,50000,22500,10000,5698285.64
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69f6842cb371b1793225806b,2000,2019,42500.0,MXAA545004***,Automatic,G_Zﾊﾟｯｹｰｼﾞ,4WD,14.38 m3,Petrol,Other,Auction Grade,CFJ2748182,19954,5,-,5,Other,MXAA54,7,2584043.0,130000,38760.64,2752803.65,963481.28,688200.91,96348.13,55056.07,704717.73,50000,22500,10000,5343107.77
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69f3e437968492f150d04e7c,2000,2019,36000.0,MXAA545004***,Automatic,Ｇ　Ｚパッケージ,4WD,17 m3,Petrol,Other,Auction Grade,CFJ2736971,20268,5,-,5,Right,MXAA54,7,2624706.0,130000,39370.59,2794076.59,977926.81,698519.15,97792.68,55881.53,715283.61,50000,22500,10000,5421980.36
https://carfromjapan.com/cheap-used-subaru-forester-2022-for-sale-6a07ac7f6c3bf8e90d7d2c69,1800,2022,9200.0,SK5020***,Automatic,スポーツ,4WD,17 m3,Petrol,Silver,Auction Grade,CFJ2795926,20339,5,-,5,Right,SK5,4,2633900.5,130000,39508.51,2803409.01,981193.15,700852.25,98119.32,56068.18,717672.71,50000,22500,10000,5439814.61
https://carfromjapan.com/cheap-used-volvo-xc60-2021-for-sale-6a08f74d032fc80d17797c96,2000,2021,58100.0,YV1UZL1MCM1826***,Automatic,Ｂ５　ＡＷＤ　インスクリプション,4WD,17 m3,Hybrid,Brown,Auction Grade,CFJ2797785,22821,5,-,5,Right,UB420TXCM,5,2955319.5,130000,44329.79,3129649.29,1095377.25,782412.32,109537.73,62592.99,801190.22,50000,22500,10000,6063259.8
https://carfromjapan.com/cheap-used-toyota-hiace-van-2019-for-sale-6a05047a4aa46807008b8f6d,2700,2019,51900.0,TRH2168010***,Automatic,ﾛﾝｸﾞｽｰﾊﾟｰGL,4WD,19.11 m3,Petrol,Other,Auction Grade,CFJ2783471,20818,5,-,-,Other,TRH216K,7,2695931.0,130000,40438.96,2866369.96,1003229.49,859910.99,100322.95,57327.4,756721.67,50000,22500,10000,5726382.46
https://carfromjapan.com/cheap-used-toyota-rav4-2019-for-sale-69891a9c8b74534610d3ed19,2000,2019,29200.0,MXAA542010***,Automatic,アドベンチャー,4WD,17 m3,Petrol,Other,Auction Grade,CFJ2323643,20268,5,-,5,Right,MXAA54,7,2624706.0,130000,39370.59,2794076.59,977926.81,698519.15,97792.68,55881.53,715283.61,50000,22500,10000,5421980.36
https://carfromjapan.com/cheap-used-nissan-x-trail-2021-for-sale-698e5da834c546991f7b713d,2000,2021,49000.0,HT32163***,Automatic,20Xi HYBRID,-,17 m3,Hybrid,Other,Auction Grade,CFJ2337383,14520,5,-,5,Right,5AA-HT32,5,1880340.0,130000,28205.1,2038545.1,713490.79,509636.28,71349.08,40770.9,521867.55,50000,22500,10000,3978159.69
https://carfromjapan.com/cheap-used-volvo-xc60-2020-for-sale-69bc85ab0d235c3e8e53dce6,2000,2020,72800.0,YV1UZL1MCL1558***,Automatic,Ｂ５　ＡＷＤ　インスクリプション,4WD,17 m3,Hybrid,Gray,Auction Grade,CFJ2516014,18933,5,-,5,Right,UB420TXCM,6,2451823.5,130000,36777.35,2618600.85,916510.3,654650.21,91651.03,52372.02,670361.82,50000,22500,10000,5086646.23
https://carfromjapan.com/cheap-used-toyota-alphard-2025-for-sale-695cfe07c15b58c118ab985b,2490,2025,6000.0,AGH40-4028***,Automatic,Z,2WD,17.82 m3,Petrol,White,Auction Grade,CFJ2176325,55000,5,-,7,Right,3BA- AGH40W,1,7122500.0,130000,106837.5,7359337.5,2575768.12,2207801.25,257576.81,147186.75,1942865.1,50000,22500,10000,14573035.54
https://carfromjapan.com/cheap-used-subaru-forester-2021-for-sale-692e297cef0b8719c7e1f7aa,2000,2021,79900.0,SKE050***,Automatic,アドバンス,4WD,18 m3,Hybrid,Silver,Auction Grade,CFJ2033278,10849,5,-,5,Right,SKE,5,1404945.5,130000,21074.18,1556019.68,544606.89,389004.92,54460.69,31120.39,398341.04,50000,22500,10000,3056053.61
https://carfromjapan.com/cheap-used-toyota-rav4-2021-for-sale-6a097c256c3bf8ac24dd3cd3,2500,2021,28000.0,4006***,Automatic,ハイブリッドX,-,17 m3,Petrol,Red,Auction Grade,CFJ2800258,16362,5,-,-,-,AXAH52,5,2118879.0,130000,31783.18,2280662.19,798231.76,684198.66,79823.18,45613.24,602094.82,50000,22500,10000,4573123.84
